Country Name,Country Code,Indicator Name,Indicator Code,year,value,indicator_short_name
Albania,ALB,Net migration,SM.POP.NETM,1999,-63093.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1999,20.835,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,1999,12.3997336340514,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,1999,3108778.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,1056.34481153033,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2000,3.9893207113692,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2000,-0.637356833943492,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.46285871776054,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2000,3584570164.85195,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2000,-60531.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2000,19.023,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2000,16.6770344143812,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,2000,3089027.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1160.42047054038,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2001,5.10708868615592,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2001,-0.93847042771206,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,8.8637306604876,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2001,4059064033.13379,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2001,-48070.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2001,18.57,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2001,17.2281095910701,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,2001,3060173.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,1326.41652388077,gdp_per_capita_current_usd
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2002,2.99003115858884,fdi_percent_gdp
Albania,ALB,Population growth (annual %),SP.POP.GROW,2002,-0.299876697084691,population_growth
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,4.62839587394552,gdp_growth_annual_percent
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2002,4515003116.68036,gdp_current_usd
Albania,ALB,Net migration,SM.POP.NETM,2002,-45178.0,net_migration
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2002,17.891,unemployment_total_percent
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,2002,16.2473863481927,remittances_percent_gdp
Albania,ALB,"Population, total",SP.POP.TOTL,2002,3051010.0,population_total
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,1479.83884572006,gdp_per_capita_current_usd
