reason_code,reason,citizenship_code,citizenship_country,duration_code,duration,reporting_country_code,reporting_country,year,value,is_total_reason
TOTAL,Total,AL,Albania,TOTAL,Total,FR,France,2024,2798,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2013,18,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2014,18,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2015,16,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2016,21,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2017,306,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2018,1088,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2019,2216,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2020,1695,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2021,1819,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2022,2003,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2023,1800,True
TOTAL,Total,AL,Albania,TOTAL,Total,HR,Croatia,2024,1506,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2008,64297,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2009,46674,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2010,47602,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2011,24316,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2012,18398,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2013,15890,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2014,14591,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2015,16477,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2016,17167,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2017,19693,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2018,23147,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2019,22931,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2020,13627,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2021,29732,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2022,34864,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2023,34113,True
TOTAL,Total,AL,Albania,TOTAL,Total,IT,Italy,2024,24734,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2013,0,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2014,0,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2015,3,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2016,1,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2017,6,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2018,4,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2019,1,True
TOTAL,Total,AL,Albania,TOTAL,Total,LI,Liechtenstein,2020,1,True
